DATE,CPI_diff,IIP_diff,IR_diff,MS_diff,STI_diff,NT_diff,FOREX
2006-04-01,39.111269246091496,36.8547430407405,-0.25,1197.2191033036438,35.39837101037351,-64.15133422877881,44.8245
2006-05-01,39.150648830077,36.1295279729746,0.0,1208.6559505538787,35.750873869927894,-66.57577624114326,45.1959
2006-06-01,38.5543509346308,36.321450777639406,0.25,1200.1103327003284,38.5550897908159,-64.99677852547569,45.8886
2006-07-01,38.4249662527619,34.10810892243791,0.25,1195.3688769103771,37.3705725994741,-67.89350202510603,46.3675
2006-08-01,38.593730518616304,35.68049697035251,0.25,1191.4626722934106,36.3621723372561,-69.05385694075004,46.4461
2006-09-01,37.78928877333011,33.83509471880221,0.25,1179.616238194528,34.5439546623266,-64.40997725772338,46.0105
2006-10-01,36.5601248809301,34.867156130692194,0.25,1179.675452252543,34.880674237516295,-58.189412325454086,45.3552
2006-11-01,36.43355168153929,29.2150498705805,0.25,1176.3887332691638,33.9453564885187,-58.55074158945872,44.7257
2006-12-01,36.5601248809301,31.378617079315404,0.25,1168.9503716470956,35.3286796115698,-62.91689662517092,44.4835
2007-01-01,36.8200218503457,30.071860846267995,0.25,1171.2666286153517,34.367925599384,-61.48866238506184,44.2062
2007-02-01,36.8944200194961,30.6005436702614,0.25,1152.85158808905,35.8370414183068,-60.39438833290956,44.0195
2007-03-01,38.0587515617167,29.32790933363989,0.25,1155.1426615696823,38.3765939815172,-62.66927588652586,43.7936
2007-04-01,38.2390493076906,29.172439811867307,0.25,1161.817406476654,40.2828555834323,-60.52646930143872,42.0176
2007-05-01,38.3893913964754,27.140272339444707,0.25,1155.6136798093532,40.3641819391853,-60.0730840489273,40.5686
2007-06-01,38.1768903136734,26.671425819156298,0.25,1136.210243962918,40.2951566350018,-59.697883002439966,40.5905
2007-07-01,37.38946688714709,26.4341859131697,0.25,1133.7553267424532,37.78389913764819,-59.83241229592119,40.2738
2007-08-01,36.8457659326059,26.4889750822973,-0.25,1143.0528773829458,34.3583527321373,-58.80696040761464,40.6791
2007-09-01,37.0875207434422,27.704887497040687,-0.75,1130.8586699131256,32.8353214863923,-61.956373058420105,40.1735
2007-10-01,36.89316181921949,25.2082455066206,-1.0,1131.2647380797796,27.710004559791813,-61.290732081902696,39.3661
2007-11-01,37.4167529540326,25.2120393771458,-1.0,1110.1976992929765,20.689036793758504,-61.03532970173245,39.3267
2007-12-01,37.357263550319,24.030663263315503,-1.25,1109.4791339155886,19.5173085691369,-61.828041244213225,39.375
2008-01-01,37.79773828419879,23.06309896963521,-2.5,1107.1061421657118,15.278709456977497,-63.43595798546169,39.2676
2008-02-01,37.6738384409703,22.678272548336395,-2.5,1110.9298823766017,19.847985523710197,-63.9095656678666,39.6735
2008-03-01,37.68298234927649,21.407068085683605,-3.5,1113.548889437537,24.445286302402,-59.84390547125,40.1452
2008-04-01,37.8468255793297,20.9833409328115,-3.75,1119.9178694419545,26.4211253538637,-61.6718663912843,39.9668
2008-05-01,38.2275308910057,20.121046244163693,-3.75,1130.612563228885,26.180769485622,-64.35557079817713,42.0019
2008-06-01,38.766030791255496,18.8003946812737,-3.75,1144.9774044156693,29.442452341868908,-61.568000232673896,42.7633
2008-07-01,38.1032129029712,20.42226085207659,-3.75,1159.274678196142,28.8127430913761,-65.04528634446051,42.7027
2008-08-01,36.96771317812031,17.887443665975212,-3.75,1143.4687622427557,24.50277601633569,-54.4895522249727,42.9057
2008-09-01,36.4573431660853,11.672651158334304,-3.75,1210.7773510703537,22.921677907659102,-53.4381714135935,45.53
2008-10-01,34.75985843593939,15.036387961600695,-4.75,1239.0648211227262,18.5697918312818,-59.3131101373317,48.6155
2008-11-01,33.009772999029906,14.493378078593196,-4.75,1282.1947486449458,17.2848113554006,-39.2480959510724,48.8517
2008-12-01,32.4653663494752,13.962815679398403,-5.5,1365.778522152913,17.007841506245,-44.47447735947754,48.5132
2009-01-01,32.46888352696669,13.212749734298896,-5.5,1343.482491801008,17.2721709700975,-41.4928796065834,48.6995
2009-02-01,32.9118897248344,11.766631986049305,-5.5,1326.1354612270532,13.860292524506,-32.29620567192252,49.2484
2009-03-01,33.1295956277865,10.922606647699196,-5.5,1342.995089227266,11.7866353095747,-32.481389733078295,51.1291
2009-04-01,32.588568029407504,7.900112145518008,-5.5,1364.9138863733697,10.212300878881903,-33.81359566468493,49.9655
2009-05-01,32.465933918172894,6.055843459679608,-5.5,1359.3455411134385,7.119957807804305,-28.949822212604342,48.51
2009-06-01,32.4759216478084,5.2141622410129,-5.5,1396.6531730987465,2.0243370132711007,-26.545820960327568,47.6736
2009-07-01,29.6539106359508,5.3146738650278,-5.5,1398.2410436657983,2.8434867555400984,-35.77532043561038,48.3624
2009-08-01,29.09263132566929,2.1452271676463965,-5.5,1390.6115895377195,5.2536121876075015,-32.255855193382146,48.2426
2009-09-01,28.767058184744805,3.815104698557107,-5.5,1392.5893493089225,4.125014276739996,-37.83371557485737,48.2924
2009-10-01,28.089753441688494,5.989209704517492,-5.5,1394.304842326534,3.843897930434501,-34.905037646948855,46.6524
2009-11-01,27.0067125314268,3.946064444902405,-5.5,1397.7801171578535,5.5215067572110925,-37.902075346056606,46.5305
2009-12-01,26.46343348755029,4.038948014996691,-5.5,1403.381783877343,4.607163190448006,-37.4721303987485,46.5273
2010-01-01,25.627210316100687,3.449035083799004,-5.5,1372.840130341924,4.937152487215506,-39.143940236788325,45.8944
2010-02-01,26.415055653291603,2.8630978984851083,-5.25,1397.7855291907736,5.929620251372903,-38.350508448688,46.2732
2010-03-01,26.7905561448175,3.630509689379807,-5.25,1396.537755745611,5.704001240664404,-37.7481133528788,45.4509
2010-04-01,26.950038376049903,2.5585649835557973,-5.25,1377.0836134346505,6.572189730075209,-39.081427849558295,44.444
2010-05-01,26.25627911707269,6.20060566726481,-5.25,1391.788780737416,3.9838559589803,-41.84089482031629,45.769
2010-06-01,25.4013499842047,6.55081663722531,-5.25,1411.887117423867,0.1477501938121008,-49.47382218147696,46.4983
2010-07-01,23.89063355217671,3.708372303770801,-5.25,1397.885752810828,-1.5785603152416954,-40.5895437322314,46.7617
2010-08-01,24.017628662232116,4.665930755754999,-5.25,1420.4404961506957,-1.611042232388101,-48.01506764678905,46.4605
2010-09-01,23.688680235990603,4.1342669332028095,-5.25,1432.7666521167944,-3.73171605140881,-45.6175727337082,45.8729
2010-10-01,23.038377775471005,1.4905805724831964,-5.25,1422.4756323201382,-3.944748393696401,-40.93874750761631,44.354
